player_name,position,nationality,club,league
Davide Calabria,Defender,Italy,Ac Mailand,serie-a
Fode Ballo Toure,Defender,Senegal,Ac Mailand,serie-a
Theo Hernandez,Defender,France,Ac Mailand,serie-a
Matteo Gabbia,Defender,Italy,Ac Mailand,serie-a
Simon Kjaer,Defender,Denmark,Ac Mailand,serie-a
Alessio Romagnoli,Defender,Italy,Ac Mailand,serie-a
Fikayo Tomori,Defender,England,Ac Mailand,serie-a
Antonio Mirante,Goalkeeper,Italy,Ac Mailand,serie-a
Ciprian Tatarusanu,Goalkeeper,Romania,Ac Mailand,serie-a
Mike Maignan,Goalkeeper,France,Ac Mailand,serie-a
Pierre Kalulu,Defender,France,Ac Mailand,serie-a
Brahim Diaz,Attack,Spain,Ac Mailand,serie-a
Federico Santander,Attack,Paraguay,Fc Bologna,serie-a
Diego Falcinelli,Attack,Italy,Fc Bologna,serie-a
Musa Juwara,Attack,The Gambia,Fc Bologna,serie-a
Nicola Sansone,Attack,Italy,Fc Bologna,serie-a
Emanuel Vignato,Attack,Italy,Fc Bologna,serie-a
Musa Barrow,Attack,The Gambia,Fc Bologna,serie-a
Marko Arnautovic,Attack,Austria,Fc Bologna,serie-a
Roberto Soriano,Attack,Italy,Fc Bologna,serie-a
Nicolas Viola,Midfield,Italy,Fc Bologna,serie-a
Michel Aebischer,Midfield,Switzerland,Fc Bologna,serie-a
Mattias Svanberg,Midfield,Sweden,Fc Bologna,serie-a
Jerdy Schouten,Midfield,Netherlands,Fc Bologna,serie-a
Riccardo Orsolini,Attack,Italy,Fc Bologna,serie-a
Ibrahima Mbaye,Defender,Senegal,Fc Bologna,serie-a
Lorenzo De Silvestri,Defender,Italy,Fc Bologna,serie-a
Mitchell Dijks,Defender,Netherlands,Fc Bologna,serie-a
Aaron Hickey,Defender,Scotland,Fc Bologna,serie-a
Nicolas Dominguez,Midfield,Argentina,Fc Bologna,serie-a
Luis Binks,Defender,England,Fc Bologna,serie-a
Kevin Bonifazi,Defender,Italy,Fc Bologna,serie-a
Adama Soumaoro,Defender,France,Fc Bologna,serie-a
Arthur Theate,Defender,Belgium,Fc Bologna,serie-a
Marco Molla,Goalkeeper,Albania,Fc Bologna,serie-a
Francesco Bardi,Goalkeeper,Italy,Fc Bologna,serie-a
Lukasz Skorupski,Goalkeeper,Poland,Fc Bologna,serie-a
Gary Medel,Defender,Chile,Fc Bologna,serie-a
Denso Kasius,Defender,Netherlands,Fc Bologna,serie-a
Luis Rojas,Attack,Chile,Fc Bologna,serie-a
Kingsley Michael,Midfield,Nigeria,Fc Bologna,serie-a
Edoardo Vergani,Attack,Italy,Us Salernitana 1919,serie-a
Milan Djuric,Attack,Bosnia-Herzegovina,Us Salernitana 1919,serie-a
Federico Bonazzoli,Attack,Italy,Us Salernitana 1919,serie-a
Lys Mousset,Attack,France,Us Salernitana 1919,serie-a
Diego Perotti,Attack,Argentina,Us Salernitana 1919,serie-a
Mikael,Attack,Brazil,Us Salernitana 1919,serie-a
Franck Ribery,Attack,France,Us Salernitana 1919,serie-a
Simone Verdi,Attack,Italy,Us Salernitana 1919,serie-a
Joel Obi,Midfield,Nigeria,Us Salernitana 1919,serie-a
Leonardo Capezzi,Midfield,Italy,Us Salernitana 1919,serie-a
Grigoris Kastanos,Midfield,Cyprus,Us Salernitana 1919,serie-a
Mamadou Coulibaly,Midfield,Senegal,Us Salernitana 1919,serie-a
Lassana Coulibaly,Midfield,Mali,Us Salernitana 1919,serie-a
Ederson,Midfield,Brazil,Us Salernitana 1919,serie-a
Francesco Di Tacchio,Midfield,Italy,Us Salernitana 1919,serie-a
Andrea Schiavone,Midfield,Italy,Us Salernitana 1919,serie-a
Emil Bohinen,Midfield,Norway,Us Salernitana 1919,serie-a
Nadir Zortea,Midfield,Italy,Us Salernitana 1919,serie-a
Wajdi Kechrida,Midfield,Tunisia,Us Salernitana 1919,serie-a
Ivan Radovanovic,Midfield,Serbia,Us Salernitana 1919,serie-a
Pasquale Mazzocchi,Defender,Italy,Us Salernitana 1919,serie-a
Pawel Jaroszynski,Defender,Poland,Us Salernitana 1919,serie-a
Luca Ranieri,Defender,Italy,Us Salernitana 1919,serie-a
Frederic Veseli,Defender,Albania,Us Salernitana 1919,serie-a
Stefan Strandberg,Defender,Norway,Us Salernitana 1919,serie-a
Riccardo Gagliolo,Defender,Sweden,Us Salernitana 1919,serie-a
Norbert Gyomber,Defender,Slovakia,Us Salernitana 1919,serie-a
Radu Dragusin,Defender,Romania,Us Salernitana 1919,serie-a
Vincenzo Fiorillo,Goalkeeper,Italy,Us Salernitana 1919,serie-a
Luigi Sepe,Goalkeeper,Italy,Us Salernitana 1919,serie-a
Antonio Russo,Goalkeeper,Italy,Us Salernitana 1919,serie-a
Vid Belec,Goalkeeper,Slovenia,Us Salernitana 1919,serie-a
Federico Fazio,Defender,Argentina,Us Salernitana 1919,serie-a
Filippo Delli Carri,Defender,Italy,Us Salernitana 1919,serie-a
Matteo Ruggeri,Defender,Italy,Us Salernitana 1919,serie-a
Luca Gagliano,Attack,Italy,Cagliari Calcio,serie-a
Leonardo Pavoletti,Attack,Italy,Cagliari Calcio,serie-a
Gaston Pereiro,Attack,Uruguay,Cagliari Calcio,serie-a
Nahitan Nandez,Midfield,Uruguay,Cagliari Calcio,serie-a
Daniele Baselli,Midfield,Italy,Cagliari Calcio,serie-a
Kevin Strootman,Midfield,Netherlands,Cagliari Calcio,serie-a
Alessandro Deiola,Midfield,Italy,Cagliari Calcio,serie-a
Alberto Grassi,Midfield,Italy,Cagliari Calcio,serie-a
Razvan Marin,Midfield,Romania,Cagliari Calcio,serie-a
Raoul Bellanova,Defender,Italy,Cagliari Calcio,serie-a
Charalampos Lykogiannis,Defender,Greece,Cagliari Calcio,serie-a
Keita Balde,Attack,Senegal,Cagliari Calcio,serie-a
Dalbert,Defender,Brazil,Cagliari Calcio,serie-a
Damir Ceter,Attack,Colombia,Cagliari Calcio,serie-a
Adam Obert,Defender,Slovakia,Cagliari Calcio,serie-a
Edoardo Goldaniga,Defender,Italy,Cagliari Calcio,serie-a
Andrea Carboni,Defender,Italy,Cagliari Calcio,serie-a
Sebastian Walukiewicz,Defender,Poland,Cagliari Calcio,serie-a
Matteo Lovato,Defender,Italy,Cagliari Calcio,serie-a
Marko Rog,Midfield,Croatia,Cagliari Calcio,serie-a
Boris Radunović,Goalkeeper,Serbia,Cagliari Calcio,serie-a
Simone Aresti,Goalkeeper,Italy,Cagliari Calcio,serie-a
Joao Pedro,Attack,Italy,Cagliari Calcio,serie-a
Alessio Cragno,Goalkeeper,Italy,Cagliari Calcio,serie-a
Giorgio Altare,Defender,Italy,Cagliari Calcio,serie-a
Luca Ceppitelli,Defender,Italy,Cagliari Calcio,serie-a
Gabriele Zappa,Defender,Italy,Cagliari Calcio,serie-a
Kaio Jorge,Attack,Brazil,Juventus Turin,serie-a
Alvaro Morata,Attack,Spain,Juventus Turin,serie-a
Paulo Dybala,Attack,Argentina,Juventus Turin,serie-a
Du Scaron An Vlahović,Attack,Serbia,Juventus Turin,serie-a
Moise Kean,Attack,Italy,Juventus Turin,serie-a
Federico Bernardeschi,Attack,Italy,Juventus Turin,serie-a
Federico Chiesa,Attack,Italy,Juventus Turin,serie-a
Marley Ake,Attack,France,Juventus Turin,serie-a
Aaron Ramsey,Midfield,Wales,Juventus Turin,serie-a
Adrien Rabiot,Midfield,France,Juventus Turin,serie-a
Weston Mckennie,Midfield,United States,Juventus Turin,serie-a
Arthur,Midfield,Brazil,Juventus Turin,serie-a
Denis Zakaria,Midfield,Switzerland,Juventus Turin,serie-a
Manuel Locatelli,Midfield,Italy,Juventus Turin,serie-a
Mattia De Sciglio,Defender,Italy,Juventus Turin,serie-a
Juan Cuadrado,Defender,Colombia,Juventus Turin,serie-a
Danilo,Defender,Brazil,Juventus Turin,serie-a
Alex Sandro,Defender,Brazil,Juventus Turin,serie-a
Luca Pellegrini,Defender,Italy,Juventus Turin,serie-a
Giorgio Chiellini,Defender,Italy,Juventus Turin,serie-a
Daniele Rugani,Defender,Italy,Juventus Turin,serie-a
Leonardo Bonucci,Defender,Italy,Juventus Turin,serie-a
Matthijs De Ligt,Defender,Netherlands,Juventus Turin,serie-a
Wojciech Szczesny,Goalkeeper,Poland,Juventus Turin,serie-a
Carlo Pinsoglio,Goalkeeper,Italy,Juventus Turin,serie-a
Mattia Perin,Goalkeeper,Italy,Juventus Turin,serie-a
Aleksander Buksa,Attack,Poland,Genua Cfc,serie-a
Caleb Ekuban,Attack,Ghana,Genua Cfc,serie-a
Roberto Piccoli,Attack,Italy,Genua Cfc,serie-a
Albert Gudmundsson,Attack,Iceland,Genua Cfc,serie-a
Paolo Ghiglione,Midfield,Italy,Genua Cfc,serie-a
Filippo Melegoni,Midfield,Italy,Genua Cfc,serie-a
Manolo Portanova,Midfield,Italy,Genua Cfc,serie-a
Nadiem Amiri,Midfield,Germany,Genua Cfc,serie-a
Milan Badelj,Midfield,Croatia,Genua Cfc,serie-a
Pablo Galdames,Midfield,Chile,Genua Cfc,serie-a
Nicolo Rovella,Midfield,Italy,Genua Cfc,serie-a
Silvan Hefti,Defender,Switzerland,Genua Cfc,serie-a
Lennart Czyborra,Defender,Germany,Genua Cfc,serie-a
Riccardo Calafiori,Defender,Italy,Genua Cfc,serie-a
Andrea Cambiaso,Defender,Italy,Genua Cfc,serie-a
Andrea Masiello,Defender,Italy,Genua Cfc,serie-a
Hernani,Midfield,Brazil,Genua Cfc,serie-a
Mattia Bani,Defender,Italy,Genua Cfc,serie-a
Nikola Maksimovic,Defender,Serbia,Genua Cfc,serie-a
Leo Ostigard,Defender,Norway,Genua Cfc,serie-a
Zinho Vanheusden,Defender,Belgium,Genua Cfc,serie-a
Rok Vodisek,Goalkeeper,Slovenia,Genua Cfc,serie-a
Federico Marchetti,Goalkeeper,Italy,Genua Cfc,serie-a
Salvatore Sirigu,Goalkeeper,Italy,Genua Cfc,serie-a
Morten Frendrup,Midfield,Denmark,Genua Cfc,serie-a
Stefano Sturaro,Midfield,Italy,Genua Cfc,serie-a
Adrian Semper,Goalkeeper,Croatia,Genua Cfc,serie-a
Johan Vasquez,Defender,Mexico,Genua Cfc,serie-a
Yayah Kallon,Attack,Sierra Leone,Genua Cfc,serie-a
Domenico Criscito,Defender,Italy,Genua Cfc,serie-a
Mattia Destro,Attack,Italy,Genua Cfc,serie-a
Kelvin Yeboah,Attack,Italy,Genua Cfc,serie-a
Aleksandr Kokorin,Attack,Russia,Ac Florenz,serie-a
Jose Callejon,Attack,Spain,Ac Florenz,serie-a
Jonathan Ikone,Attack,France,Ac Florenz,serie-a
Riccardo Sottil,Attack,Italy,Ac Florenz,serie-a
Nicolas Gonzalez,Attack,Argentina,Ac Florenz,serie-a
Riccardo Saponara,Attack,Italy,Ac Florenz,serie-a
Giacomo Bonaventura,Midfield,Italy,Ac Florenz,serie-a
Arthur Cabral,Attack,Brazil,Ac Florenz,serie-a
Youssef Maleh,Midfield,Morocco,Ac Florenz,serie-a
Alfred Duncan,Midfield,Ghana,Ac Florenz,serie-a
Gaetano Castrovilli,Midfield,Italy,Ac Florenz,serie-a
Sofyan Amrabat,Midfield,Morocco,Ac Florenz,serie-a
Lorenzo Venuti,Defender,Italy,Ac Florenz,serie-a
Alvaro Odriozola,Defender,Spain,Ac Florenz,serie-a
Aleksa Terzić,Defender,Serbia,Ac Florenz,serie-a
Cristiano Biraghi,Defender,Italy,Ac Florenz,serie-a
Matija Nastasić,Defender,Serbia,Ac Florenz,serie-a
Lucas Martinez Quarta,Defender,Argentina,Ac Florenz,serie-a
Igor,Defender,Brazil,Ac Florenz,serie-a
Pietro Terracciano,Goalkeeper,Italy,Ac Florenz,serie-a
Krzysztof Piatek,Attack,Poland,Ac Florenz,serie-a
Bartlomiej Dragowski,Goalkeeper,Poland,Ac Florenz,serie-a
Lucas Torreira,Midfield,Uruguay,Ac Florenz,serie-a
Antonio Rosati,Goalkeeper,Italy,Ac Florenz,serie-a
Nikola Milenković,Defender,Serbia,Ac Florenz,serie-a
Dries Mertens,Attack,Belgium,Ssc Neapel,serie-a
Andrea Petagna,Attack,Italy,Ssc Neapel,serie-a
Victor Osimhen,Attack,Nigeria,Ssc Neapel,serie-a
Matteo Politano,Attack,Italy,Ssc Neapel,serie-a
Hirving Lozano,Attack,Mexico,Ssc Neapel,serie-a
Piotr Zielinski,Attack,Poland,Ssc Neapel,serie-a
Eljif Elmas,Midfield,North Macedonia,Ssc Neapel,serie-a
Fabian Ruiz,Midfield,Spain,Ssc Neapel,serie-a
Adam Ounas,Attack,Algeria,Ssc Neapel,serie-a
Diego Demme,Midfield,Germany,Ssc Neapel,serie-a
Stanislav Lobotka,Midfield,Slovakia,Ssc Neapel,serie-a
Kevin Malcuit,Defender,France,Ssc Neapel,serie-a
Alessandro Zanoli,Defender,Italy,Ssc Neapel,serie-a
Giovanni Di Lorenzo,Defender,Italy,Ssc Neapel,serie-a
Andre Zambo Anguissa,Midfield,Cameroon,Ssc Neapel,serie-a
Lorenzo Insigne,Attack,Italy,Ssc Neapel,serie-a
Juan Jesus,Defender,Brazil,Ssc Neapel,serie-a
Axel Tuanzebe,Defender,England,Ssc Neapel,serie-a
Amir Rrahmani,Defender,Kosovo,Ssc Neapel,serie-a
Davide Marfella,Goalkeeper,Italy,Ssc Neapel,serie-a
David Ospina,Goalkeeper,Colombia,Ssc Neapel,serie-a
Alex Meret,Goalkeeper,Italy,Ssc Neapel,serie-a
Kalidou Koulibaly,Defender,Senegal,Ssc Neapel,serie-a
Mario Rui,Defender,Portugal,Ssc Neapel,serie-a
Faouzi Ghoulam,Defender,Algeria,Ssc Neapel,serie-a
Mamadou Sylla,Attack,Senegal,Rayo Vallecano,laliga
Radamel Falcao,Attack,Colombia,Rayo Vallecano,laliga
Sergi Guardiola,Attack,Spain,Rayo Vallecano,laliga
Isi Palazon,Attack,Spain,Rayo Vallecano,laliga
Bebe,Attack,Cape Verde,Rayo Vallecano,laliga
Martin Merquelanz,Attack,Spain,Rayo Vallecano,laliga
Alvaro Garcia,Attack,Spain,Rayo Vallecano,laliga
Oscar Trejo,Attack,Argentina,Rayo Vallecano,laliga
Randy Nteka,Attack,France,Rayo Vallecano,laliga
Oscar Valentin,Midfield,Spain,Rayo Vallecano,laliga
Unai Lopez,Midfield,Spain,Rayo Vallecano,laliga
Santi Comesana,Midfield,Spain,Rayo Vallecano,laliga
Kevin Rodrigues,Defender,Portugal,Rayo Vallecano,laliga
Fran Garcia,Defender,Spain,Rayo Vallecano,laliga
Mario Suarez,Defender,Spain,Rayo Vallecano,laliga
Esteban Saveljich,Defender,Montenegro,Rayo Vallecano,laliga
Nikola Maras,Defender,Serbia,Rayo Vallecano,laliga
Mario Hernandez,Defender,Spain,Rayo Vallecano,laliga
Alejandro Catena,Defender,Spain,Rayo Vallecano,laliga
Stole Dimitrievski,Goalkeeper,North Macedonia,Rayo Vallecano,laliga
Luca Zidane,Goalkeeper,France,Rayo Vallecano,laliga
Ivan Balliu,Defender,Albania,Rayo Vallecano,laliga
Pathe Ciss,Midfield,Senegal,Rayo Vallecano,laliga
Florin Andone,Attack,Romania,Fc Cadiz,laliga
Alvaro Negredo,Attack,Spain,Fc Cadiz,laliga
Choco Lozano,Attack,Honduras,Fc Cadiz,laliga
Salvi Sanchez,Attack,Spain,Fc Cadiz,laliga
Ivan Alejo,Attack,Spain,Fc Cadiz,laliga
Oussama Idrissi,Attack,Morocco,Fc Cadiz,laliga
Lucas Perez,Attack,Spain,Fc Cadiz,laliga
Fede San Emeterio,Midfield,Spain,Fc Cadiz,laliga
Alex Fernandez,Attack,Spain,Fc Cadiz,laliga
Ruben Alcaraz,Midfield,Spain,Fc Cadiz,laliga
Ruben Sobrino,Attack,Spain,Fc Cadiz,laliga
Alberto Perea,Attack,Spain,Fc Cadiz,laliga
Jose Mari,Midfield,Spain,Fc Cadiz,laliga
Tomas Alarcon,Midfield,Chile,Fc Cadiz,laliga
Carlos Akapo,Defender,Equatorial Guinea,Fc Cadiz,laliga
Iza Carcelen,Defender,Spain,Fc Cadiz,laliga
Santiago Arzamendia,Defender,Paraguay,Fc Cadiz,laliga
Alfonso Espino,Defender,Uruguay,Fc Cadiz,laliga
Luis Hernandez,Defender,Spain,Fc Cadiz,laliga
Juan Cala,Defender,Spain,Fc Cadiz,laliga
Victor Chust,Defender,Spain,Fc Cadiz,laliga
Fali,Defender,Spain,Fc Cadiz,laliga
David Gil,Goalkeeper,Spain,Fc Cadiz,laliga
Jeremias Ledesma,Goalkeeper,Argentina,Fc Cadiz,laliga
Varazdat Haroyan,Defender,Armenia,Fc Cadiz,laliga
Jens Jonsson,Midfield,Denmark,Fc Cadiz,laliga
John Guidetti,Attack,Sweden,Deportivo Alaves,laliga
Miguel De La Fuente,Attack,Spain,Deportivo Alaves,laliga
Joselu,Attack,Spain,Deportivo Alaves,laliga
Manu Vallejo,Attack,Spain,Deportivo Alaves,laliga
Edgar Mendez,Attack,Spain,Deportivo Alaves,laliga
Jason,Attack,Spain,Deportivo Alaves,laliga
Facundo Pellistri,Attack,Uruguay,Deportivo Alaves,laliga
Luis Rioja,Attack,Spain,Deportivo Alaves,laliga
Manu Garcia,Attack,Spain,Deportivo Alaves,laliga
Tomas Pina,Midfield,Spain,Deportivo Alaves,laliga
Gonzalo Escalante,Midfield,Argentina,Deportivo Alaves,laliga
Antonio Perera,Midfield,Spain,Deportivo Alaves,laliga
Pere Pons,Midfield,Spain,Deportivo Alaves,laliga
Nahuel Tenaglia,Defender,Argentina,Deportivo Alaves,laliga
Toni Moya,Midfield,Spain,Deportivo Alaves,laliga
Saul Garcia,Defender,Spain,Deportivo Alaves,laliga
Mamadou Loum,Midfield,Senegal,Deportivo Alaves,laliga
Ximo Navarro,Defender,Spain,Deportivo Alaves,laliga
Ruben Duarte,Defender,Spain,Deportivo Alaves,laliga
Fernando Pacheco,Goalkeeper,Spain,Deportivo Alaves,laliga
Javi Lopez,Defender,Spain,Deportivo Alaves,laliga
Martin Aguirregabiria,Defender,Spain,Deportivo Alaves,laliga
Antonio Sivera,Goalkeeper,Spain,Deportivo Alaves,laliga
Victor Laguardia,Defender,Spain,Deportivo Alaves,laliga
Florian Lejeune,Defender,France,Deportivo Alaves,laliga
Matt Miazga,Defender,United States,Deportivo Alaves,laliga
Jorge Molina,Attack,Spain,Fc Granada,laliga
Matias Arezo,Attack,Uruguay,Fc Granada,laliga
Carlos Bacca,Attack,Colombia,Fc Granada,laliga
Luis Suarez,Attack,Colombia,Fc Granada,laliga
Dani Raba,Attack,Spain,Fc Granada,laliga
Ruben Rochina,Attack,Spain,Fc Granada,laliga
Alberto Soro,Attack,Spain,Fc Granada,laliga
Myrto Uzuni,Attack,Albania,Fc Granada,laliga
Darwin Machis,Attack,Venezuela,Fc Granada,laliga
Isma Ruiz,Midfield,Spain,Fc Granada,laliga
Angel Montoro,Midfield,Spain,Fc Granada,laliga
Yan Eteki,Midfield,Cameroon,Fc Granada,laliga
Luis Milla,Midfield,Spain,Fc Granada,laliga
Maxime Gonalons,Midfield,France,Fc Granada,laliga
Njegos Petrovic,Midfield,Serbia,Fc Granada,laliga
Quini,Defender,Spain,Fc Granada,laliga
Santiago Arias,Defender,Colombia,Fc Granada,laliga
Sergio Escudero,Defender,Spain,Fc Granada,laliga
Carlos Neva,Defender,Spain,Fc Granada,laliga
Alex Collado,Attack,Spain,Fc Granada,laliga
Neyder Lozano,Defender,Colombia,Fc Granada,laliga
German Sanchez,Defender,Spain,Fc Granada,laliga
Domingos Duarte,Defender,Portugal,Fc Granada,laliga
Joao Costa,Goalkeeper,Portugal,Fc Granada,laliga
Raul Torrente,Defender,Spain,Fc Granada,laliga
Aaron Escandell,Goalkeeper,Spain,Fc Granada,laliga
Antonio Puertas,Attack,Spain,Fc Granada,laliga
Victor Diaz,Defender,Spain,Fc Granada,laliga
Luis Maximiano,Goalkeeper,Portugal,Fc Granada,laliga
Barbero,Attack,Spain,Ca Osasuna,laliga
Kike Garcia,Attack,Spain,Ca Osasuna,laliga
Ante Budimir,Attack,Croatia,Ca Osasuna,laliga
Chimy Avila,Attack,Argentina,Ca Osasuna,laliga
Kike Barja,Attack,Spain,Ca Osasuna,laliga
Ruben Garcia,Attack,Spain,Ca Osasuna,laliga
Roberto Torres,Attack,Spain,Ca Osasuna,laliga
Inigo Perez,Midfield,Spain,Ca Osasuna,laliga
Jon Moncayola,Midfield,Spain,Ca Osasuna,laliga
Nacho Vidal,Defender,Spain,Ca Osasuna,laliga
Cote,Defender,Spain,Ca Osasuna,laliga
Oier Sanjurjo,Midfield,Spain,Ca Osasuna,laliga
Juan Cruz,Defender,Spain,Ca Osasuna,laliga
Manu Sanchez,Defender,Spain,Ca Osasuna,laliga
Jonas Ramalho,Defender,Angola,Ca Osasuna,laliga
Unai Garcia,Defender,Spain,Ca Osasuna,laliga
David Garcia,Defender,Spain,Ca Osasuna,laliga
Juan Perez,Goalkeeper,Spain,Ca Osasuna,laliga
Sergio Herrera,Goalkeeper,Spain,Ca Osasuna,laliga
Javi Martinez,Attack,Spain,Ca Osasuna,laliga
Jesus Areso,Defender,Spain,Ca Osasuna,laliga
Darko Brasanac,Midfield,Serbia,Ca Osasuna,laliga
Aridane Hernandez,Defender,Spain,Ca Osasuna,laliga
Lucas Torro,Midfield,Spain,Ca Osasuna,laliga
Santi Mina,Attack,Spain,Celta Vigo,laliga
Iago Aspas,Attack,Spain,Celta Vigo,laliga
Franco Cervi,Attack,Argentina,Celta Vigo,laliga
Denis Suarez,Attack,Spain,Celta Vigo,laliga
Brais Mendez,Attack,Spain,Celta Vigo,laliga
Fran Beltran,Midfield,Spain,Celta Vigo,laliga
Renato Tapia,Midfield,Peru,Celta Vigo,laliga
Thiago Galhardo,Attack,Brazil,Celta Vigo,laliga
Nolito,Attack,Spain,Celta Vigo,laliga
Orbelin Pineda,Midfield,Mexico,Celta Vigo,laliga
Javi Galan,Defender,Spain,Celta Vigo,laliga
Carlos Dominguez,Defender,Spain,Celta Vigo,laliga
Jose Fontan,Defender,Spain,Celta Vigo,laliga
Hugo Mallo,Defender,Spain,Celta Vigo,laliga
Joseph Aidoo,Defender,Ghana,Celta Vigo,laliga
Matias Dituro,Goalkeeper,Argentina,Celta Vigo,laliga
Jeison Murillo,Defender,Colombia,Celta Vigo,laliga
Ruben Blanco,Goalkeeper,Spain,Celta Vigo,laliga
Augusto Solari,Attack,Argentina,Celta Vigo,laliga
Kevin Vazquez,Defender,Spain,Celta Vigo,laliga
Nestor Araujo,Defender,Mexico,Celta Vigo,laliga
Landry Dimata,Attack,Belgium,Espanyol Barcelona,laliga
Loren Moron,Attack,Spain,Espanyol Barcelona,laliga
Adrian Embarba,Attack,Spain,Espanyol Barcelona,laliga
Lei Wu,Attack,China,Espanyol Barcelona,laliga
Nico Melamed,Attack,Spain,Espanyol Barcelona,laliga
Javi Puado,Attack,Spain,Espanyol Barcelona,laliga
Fran Merida,Midfield,Spain,Espanyol Barcelona,laliga
Keidi Bare,Midfield,Albania,Espanyol Barcelona,laliga
Raul De Tomas,Attack,Spain,Espanyol Barcelona,laliga
Tonny Vilhena,Midfield,Netherlands,Espanyol Barcelona,laliga
Yangel Herrera,Midfield,Venezuela,Espanyol Barcelona,laliga
Sergi Darder,Midfield,Spain,Espanyol Barcelona,laliga
David Lopez,Midfield,Spain,Espanyol Barcelona,laliga
Miguelon,Defender,Spain,Espanyol Barcelona,laliga
Aleix Vidal,Defender,Spain,Espanyol Barcelona,laliga
Oscar Gil,Defender,Spain,Espanyol Barcelona,laliga
Didac Vila,Defender,Spain,Espanyol Barcelona,laliga
Adria Pedrosa,Defender,Spain,Espanyol Barcelona,laliga
Fernando Calero,Defender,Spain,Espanyol Barcelona,laliga
Sergi Gomez,Defender,Spain,Espanyol Barcelona,laliga
Leandro Cabrera,Defender,Uruguay,Espanyol Barcelona,laliga
Joan Garcia,Goalkeeper,Spain,Espanyol Barcelona,laliga
Diego Lopez,Goalkeeper,Spain,Espanyol Barcelona,laliga
Manu Morlanes,Midfield,Spain,Espanyol Barcelona,laliga
Oscar Melendo,Attack,Spain,Espanyol Barcelona,laliga
Oier Olazabal,Goalkeeper,Spain,Espanyol Barcelona,laliga
Jaime Mata,Attack,Spain,Fc Getafe,laliga
Sandro Ramirez,Attack,Spain,Fc Getafe,laliga
Vitolo,Attack,Spain,Fc Getafe,laliga
Oscar Rodriguez,Attack,Spain,Fc Getafe,laliga
Jakub Jankto,Midfield,Czech Republic,Fc Getafe,laliga
Gonzalo Villar,Midfield,Spain,Fc Getafe,laliga
Carles Alena,Midfield,Spain,Fc Getafe,laliga
Mauro Arambarri,Midfield,Uruguay,Fc Getafe,laliga
Okay Yokuslu,Midfield,Turkey,Fc Getafe,laliga
Florentino,Midfield,Portugal,Fc Getafe,laliga
Nemanja Maksimović,Midfield,Serbia,Fc Getafe,laliga
Mathias Olivera,Defender,Uruguay,Fc Getafe,laliga
Gaston Alvarez,Defender,Uruguay,Fc Getafe,laliga
Stefan Mitrović,Defender,Serbia,Fc Getafe,laliga
Jonathan Silva,Defender,Argentina,Fc Getafe,laliga
Jorge Cuenca,Defender,Spain,Fc Getafe,laliga
Damian Suarez,Defender,Uruguay,Fc Getafe,laliga
Djene,Defender,Togo,Fc Getafe,laliga
Diego Conde,Goalkeeper,Spain,Fc Getafe,laliga
David Soria,Goalkeeper,Spain,Fc Getafe,laliga
Juan Iglesias,Defender,Spain,Fc Getafe,laliga
Erick Cabaco,Defender,Uruguay,Fc Getafe,laliga
Borja Mayoral,Attack,Spain,Fc Getafe,laliga
Ruben Yanez,Goalkeeper,Spain,Fc Getafe,laliga
Enes Unal,Attack,Turkey,Fc Getafe,laliga
Raul Garcia,Attack,Spain,Athletic Bilbao,laliga
Asier Villalibre,Attack,Spain,Athletic Bilbao,laliga
Inaki Williams,Attack,Spain,Athletic Bilbao,laliga
Oihan Sancet,Attack,Spain,Athletic Bilbao,laliga
Nico Williams,Attack,Spain,Athletic Bilbao,laliga
Nico Serrano,Attack,Spain,Athletic Bilbao,laliga
Iker Muniain,Attack,Spain,Athletic Bilbao,laliga
Dani Garcia,Midfield,Spain,Athletic Bilbao,laliga
Oier Zarraga,Midfield,Spain,Athletic Bilbao,laliga
Alex Berenguer,Attack,Spain,Athletic Bilbao,laliga
Unai Vencedor,Midfield,Spain,Athletic Bilbao,laliga
Oscar De Marcos,Defender,Spain,Athletic Bilbao,laliga
Ander Capa,Defender,Spain,Athletic Bilbao,laliga
Inigo Lekue,Defender,Spain,Athletic Bilbao,laliga
Mikel Balenziaga,Defender,Spain,Athletic Bilbao,laliga
Mikel Vesga,Midfield,Spain,Athletic Bilbao,laliga
Dani Vivian,Defender,Spain,Athletic Bilbao,laliga
Yeray Alvarez,Defender,Spain,Athletic Bilbao,laliga
Inigo Martinez,Defender,Spain,Athletic Bilbao,laliga
Unai Simon,Goalkeeper,Spain,Athletic Bilbao,laliga
Alex Petxa,Defender,Spain,Athletic Bilbao,laliga
Julen Agirrezabala,Goalkeeper,Spain,Athletic Bilbao,laliga
Yuri Berchiche,Defender,Spain,Athletic Bilbao,laliga
Jokin Ezkieta,Goalkeeper,Spain,Athletic Bilbao,laliga
Unai Nunez,Defender,Spain,Athletic Bilbao,laliga
Marcos Andre,Attack,Brazil,Fc Valencia,laliga
Hugo Duro,Attack,Spain,Fc Valencia,laliga
Maxi Gomez,Attack,Uruguay,Fc Valencia,laliga
Helder Costa,Attack,Angola,Fc Valencia,laliga
Bryan Gil,Attack,Spain,Fc Valencia,laliga
Koba Koindredi,Midfield,Neukaledonien,Fc Valencia,laliga
Goncalo Guedes,Attack,Portugal,Fc Valencia,laliga
Ilaix Moriba,Midfield,Guinea,Fc Valencia,laliga
